labels,ENG,JPN,DEU,NLD,ELL,SPA,TUR,POR,ITA,UKR
keyobjtxt1,Definitions,ていぎ,Belegung,Definities,Ορισμοί,Definiciones,Tanımlar,Definições,Definizioni,Призначення
keyobjtxt2,Speed,スピード,Geschwindigkeit,Snelheid,Ταχύτητα,Velocidad,Hız,Velocidade,Velocità,Швидкість
keyobjtxt3,Buttons,ボタン,Taste,Knoppen,Κουμπιά,Botones,Butonlar,Botões,Pulsanti,Кнопки
keyobjtxta,Key,キー,Taste,Toets,Πλήκτρο,Tecla,Tuş,Tecla,Tasto,Клавіша
keyobjtxtb,Normal,ノーマル,Normal,Norm.,Κανονικό,Normal,Normal,Normal,Norm.,Звич.
keyobjtxtc,Shift,シフト,Umsch.,Shift,Shift,Mays,Shift,Shift,Shift,Shift
keyobjtxtd,Control,コントロ,Strg,Ctrl,Control,Control,Control,Ctrl,Control,Control
keyobjtxte,Alt,Alt,Alt,Alt,Alt,Alt,Alt,Alt,Alt,Alt
keyobjtxtk,Delay,ディレイ,Verzög.,Vertrg.,Καθυστέρηση,Retraso,Gecikme,Atraso,Ritardo,Затримка
keyobjtxtl,Repeat,リピート,Wdh.rate,Herhaal,Επανάληψη,Repetir,Tekrar,Repetir,Ripeti,Повтор
keyobjtxtm,Test,テスト,Test,Test,Δοκιμή,Probar,Test,Testar,Test,Тест
mouobjtxt1,Joystick Settings,ジョイスティックせってい,Joystick,Joystickinstellingen,Ρυθμίσεις Joystick,Joystick,Joystick Ayarları,Joystick,Joystick,Джойстик
mouobjtxt2,Mouse Settings,マウスせってい,Maus,Muisinstellingen,Ρυθμίσεις Ποντικιού,Ratón,Fare Ayarları,Mouse,Mouse,Миша
mouobjtxt3,Button Settings,ボタンせってい,Maustasten,Knopinstellingen,Ρυθμίσεις Κουμπιών,Botones,Buton Ayarları,Botões,Pulsanti,Кнопки
mouobjtxta,Accelerat.,アクセル,Beschleun.,Versnl.,Επιτάχυνση,Aceleración,Hızlanma,Aceleração,Acceleraz.,Прискор.
mouobjtxtb,Speed,スピード,Geschwin.,Snelheid,Ταχύτητα,Velocidad,Hız,Velocidade,Velocità,Швидкість
mouobjtxti,Swap left/right button,ひだりみぎボタンをこうかん,Links/rechts tauschen,Knoppen wisselen,Αντιστρ. Αρ./Δεξ.,Intercambiar izq./der.,Sol/sağ butonu değiştir,Trocar esquerdo/direito,Inverti pulsanti,Обміняти признач. кнопок
mouobjtxtj,DoubleClick,ダブクリ,Doppelklick,Dubbelkl.,Διπλό κλικ,Doble Clic,Çift tıklama,Clique dupl.,Doppio Click,Подв.клац.
mouobjtxtm,Wheel,ホイール,Rad,Wiel,Τροχός,Rueda,Tekerlek,Roda,Rotella,Коліщатко
prgtxtsys0a,General,いっぱん,Allgemein,Algemeen,Γενικά,General,Genel,Geral,Generali,Загальні
prgtxtsys0b,File types,ファイルタイプ,Dateizuordnungen,Bestandstypen,Τύποι αρχείων,Tipos de archivo,Dosya tipleri,Tipos de arquivo,Associazioni,Типи файлів
prgtxtsys1,System info,システムじょうほう,Systeminfo,Systeeminfo,Πληροφορίες συστήματος,Info del Sistema,Sistem bilgisi,Informações do sistema,Info di Sistema,Відомості про систему
prgtxtsys1a,Platform,プラットフォーム,Plattform,Platform,Πλατφόρμα,Plataforma,Platform,Plataforma,Piattaforma,Платформа
prgtxtsys1b,CPU Memory,CPUメモリ,Speicher,CPU-geheugen,Μνήμη CPU,Memoria de CPU,CPU Bellek,Memória CPU,Memoria,Пам'ять
prgtxtsys1d,OS Version,OSバージョン,OS Version,OS-versie,Έκδοση Λειτουργικού,Versión de SO,OS Sürümü,Versão do SO,Versione OS,Версія ОС
prgtxtsys2f,[Unknown],[アンノウン],[Unbekannt],[Onbekend],[Άγνωστο],[Desconocido],[bilinmiyor],[Desconhecido],[Sconosciuto],[невідомо]
prgtxtsys3,Miscellaneous,そのた,Allgemein,Diversen,Διάφορα,Varios,Çeşitli,Diversos,Altre Info,Різне
prgtxtsys3a,System path,システムパス,Systempfad,Systeempad,Διαδρ. συστ.,Ruta de SO,Sistem yolu,Caminho de OS,Cartella di SO,Сист. шлях:
prgtxtsys3d,(these options require a reboot),（リブートがひつようです）,(Optionen erfordern Neustart),(vereist herstart),(απαιτ. επανεκκ.),(Es necesario reiniciar),(Yeniden başlatma gerekli),(Reinicialização necessária),(è necessario un riavvio),(необхідне перезавантаження)
prgtxtsys3b,Boot Extended Desktop,エクステンデッドデスクトップ,lade Extended Desktop,Gebruik Extended Desktop,Εκκίν. εκτ. επιφ.,Escritorio Extendido,Genişletilmiş Masaüstü Başlat,Área de trabalho estendida,Desktop esteso all'avvio,Розширений робочий стіл
prgtxtsys3j,File browser uses max memory,ブラウザのさいだいメモリ,max.Speicher für Dateibrowser,max.bestandsbrowsergeheugen,Διαχ. αρχ. μέγ. μνήμ.,Explorador: Memoria máx,maks.tarayıcı depolama alanı,Memória máxima do navegador,Memoria massima al browser,Макс. ОЗП для файл. браузера
prgtxtsys3e,Autoexec,Autoexec,Autoexec,Autoexec,Autoexec,Autoexec,Autoexec,Autoexec,Autoexec,Автозапуск
prgtxtsys3h,Boot drive,ブートドライブ,Bootlaufwerk,Opstartstation,Μον. εκκ.,Arranque,Boot sürücüsü,Unid. de boot,Drive di avvio,Сист. диск:
prgtxtlnk9a,Extension(s),エクステンション,Dateiendung(en),Extensie(s),Επεκτ.,Extension(es),Uzantı(lar),Extensão(ões),Estensioni,Розширення:
prgtxtlnk9b,Application path,アプリケーションパス,Öffnen mit,Applicatiepad,Διαδρ. εφαρμ.,Ruta de Aplicación,Uygulama yolu,Caminho d.aplicativo,Percorso dell'app,Програма:
prgtxtlnk4,Edit entry,エントリをへんしゅう,Bearbeiten,Bewerken,Επεξ. καταχ.,Editar entrada,Girişi düzenle,Editar entrada,Settaggi,Редагування
prgtxtlnk5c,Browse...,せんたく...,Wählen...,Bladeren,Αναζήτ...,Explorar...,Gözat…,Buscar…,Sfoglia,Огляд…
prgtxtfnt1f,characters),もじ),Zeichen),tekens),χαρ.),caracteres),karakter),caracteres),caratteri),символів)
prgtxtfnt0b,Load new font,あたらしいフォントをロード,Schriftart laden,Nieuw lettertype laden,Νέα γραμ/ρά,Cargar nueva fuente,Yeni font yükle,Carregar nova fonte,Aggiungi nuovo font,Завантажити новий шрифт
prgtxtfnt3a,Use enhanced 255 characters font,かくちょう２５５もじフォントをしよう,auf 255 Zeichen erweitern,Verbeterd 255-tekens lettertype,Ενισχ. 255 χαρ.,Usar fuente para 255 caracteres,Gelişmiş 255 karakterlik font kullan.,Usar fonte estendida de 255 caracteres,Usa font avanzato da 255 caratteri,Використ. 255-символьний шрифт
prgtxtfnt4a,[not selected],[みせんたく],[nicht ausgewählt],[niet geselecteerd],#TRANSLATE#,[no seleccionado],[seçili değil],[não selecionado],[non selezionato],[не вибрано]
prgtxtfnt1e,The five boxing wizards jump quickly.,いろはにほへと ちりぬるを わかよたれそ つねならむ ういのおくやま けふこえて あさきゆめみし えひもせす,Zwölf laxe Typen qualmen verdächtig süße Objekte.,Op brute wijze ving de schooljuf de quasi-kalme lynx.,Ξεσκεπάζω την ψυχοφθόρα σας βδελυγμία.,Whisky bueno: ¡excitad mi frágil pequeña vejez!,Pijamalı hasta yağız şoföre çabucak güvendi.,Vejo galã sexy pôr quinze kiwis à força em baú achatado.,Quel vituperabile xenofobo zelante assaggia il whisky ed esclama: alleluja!,Хвацький юшковар Філіп щодня на ґанку готує сім'ї вечерю з жаб.
prgtxtfntta,Font,フォント,Schriftart,Lettertype,Γραμ/ρά,Fuente,Font,Fonte,Caratteri,Шрифт
prgtxtfnttb,Language,げんご,Sprache,Taal,Γλώσσα,Idioma,Dil,Idioma,Lingue,Мова
prgtxtlng3a,Primary,Primary,Primär,Primair,Κύρια,Primario,Birincil,Primário,Primario,Головна
prgtxtlng3b,Fallback,Fallback,Ersatz,Fallback,Εφεδρ.,Sustituto,Yedek,Reserva,Riserva,Резервна
prgtxtlng1a,Language packages,げんごパック,Sprachpakete,Taalpakketten,Πακέτα γλώσ.,Paquetes de Idioma,Dil paketleri,Pacotes de idioma,Pacchetto lingua,Мова інтерфейсу
prgobjlng3d_df,[default],[デフォルト],[standard],[standaard],[προεπ.],[por defecto],[varsayılan],[padrão],[default],[за замовчуванням]
prgobjlng3d_sd,[self-defined],[ユーザーていぎ],[definiert],[eigen],[ορισμ. χρήστ.],[auto-definido],[tanımlı],[personalizado],[definire],[самовизначення]
prgtxtfnt5a,International keyboard mode,こくさいKBモード,Internationaler Tastaturmodus,Internationale toetsenbordmodus,Ενισχ. διατ. πλήκτρ.,Modo de teclado internacional,Uluslararası klavye modu,Modo de teclado internacional,Tastiere internazionali,Міжнародна клавіатура
prgtxtlng5b,Activate,アクティブ,Aktivieren,Activeren,Ενεργ.,Activar,Etkinleştir,Ativar,Attivare,Увімкнути
prgtxtlng5d,Show layout icon,レイアウトアイコン,Zeige Symbol,Pictogram weergeven,Εικον. διάταξης,Mostrar icono de esquema,Düzen simgesini göster,Mostrar ícone do layout,Mostra lo schema icone,Показати значок розкладки
prgerrfnt1,Selected keyboard is not,このキーボードはげんごに,Tastaturlayout passt nicht zum,De toetsenbordindeling is,Το πλήκτρ. δεν είναι,El teclado no es compatible con,"Seçilen klavye, yazı sistemiyle",O teclado selecionado não,La tastiera selezionata non,Вибрана клавіатура несумісна
prgerrfnt2,compatible with the writing system.,たいおうしていません。,Schriftsystem. Bitte Zeichensatz,niet compatibel met het,συμβατό με το σύστ. γραφής.,sistema de escritura.,uyumlu değil.,é compatível com a escrita.,è compatibile con il sistema di scrittura,із системою письма
prgerrfnt3,Please adjust font or keyboard.,フォントかキーボードをかえてください。,oder Tastatur anpassen.,schrijfsysteem. Pas deze aan.,Ρύθμ. γραμ/ρά ή πλήκτρ.,Ajuste la fuente o el teclado.,Lütfen fontu veya klavyeyi ayarlayın.,Ajuste fonte ou teclado.,Cambia font o tastiera,Налаштуйте шрифт або клавіатуру.
prgerrlng1,Language requires FNT/KEX,このげんごに ひつような,Für die Sprache benötigten,Voor de taal zijn FNT/KEX-,#TRANSLATE#,El idioma requiere archivos,"Dil, /i18n/ dizininde eksik olan",Idioma requires FNT/KEX,La lingua richiede FNT/KEX,Для цієї мови потрібні
prgerrlng2,"files, which are missing from",FNT/KEX が i18n に,FNT/KEX Dateien fehlen im,"bestanden vereist, die",#TRANSLATE#,FNT/KEX que faltan del,FNT/KEX dosyalarını gerektiriyor.,arquivos ausentes do,mancanti nella cartella,"файли FNT/KEX, яких немає"
prgerrlng3,/i18n/ directory. Please check.,ありません。かくにんしてください。,/i18n/ Verzeichnis.,ontbreken in de map /i18n/.,#TRANSLATE#,directorio /i18n/. Comprubelo,Lütfen kontrol edin.,diretório /i18n/. Verifique.,/i18n/. Correggi,в папці /i18n/. Перевірте будь ласка.
prgbotlng1,Please save the settings and,せっていで セーブして,Für die Sprachänderung,Sla de instellingen op en,#TRANSLATE#,Guarde las selecciones y reinicie,Dil değişikliğinin etkinleşmesi için,"Por favor, salve as configurações e",Per favore salvare le impostazioni e,"Будь ласка, збережіть налашту-"
prgbotlng2,restart the system for the,システムを　さいきどうすると,Einstellungen speichern,herstart het systeem om de,#TRANSLATE#,el sistema para que el cambio de,lütfen ayarları kaydedin ve,reinicie o sistema para as,riavviare il sistema perché il,"вання та перезавантажте систему,"
prgbotlng3,language change to take effect.,げんごが　へんこうされます,und Neustart ausführen.,taalwijziging door te voeren.,#TRANSLATE#,idioma tenga efecto.,sistemi yeniden başlatın.,mudanças de idioma tenham efeito.,cambiamento di lingua abbia effetto,щоб зміна мови набула чинності.
### pack1,64,767
prgtitdsp,Display,ディスプレイ,Anzeige,Beeldscherm,Οθόνη,Pantalla,Ekran,Tela,Display,Дисплей
prgtitcol,Palette,パレット,Palette,Palet,Παλέτα,Paleta,Palet,Paleta,Palette,Палітра
prgbuttxt1,Ok,OK,Ok,OK,ΟΚ,Aceptar,Ok,Ok,Ok,Гаразд
prgbuttxt2,Cancel,キャンセル,Abbruch,Annuleer,Άκυρο,Cancelar,İptal,Cancelar,Annulla,Скасувати
prgbuttxt3,Apply,てきよう,Überneh.,Bevestig,Εφαρμ.,Aplicar,Uygula,Aplicar,Applica,Задіяти
prgbuttxt4,Load,ロード,Laden,Laden,Φόρτ.,Carg.,Yükle,Abrir,Carica,Заван.
prgbuttxt5,Save,セーブ,Spei.,Opsl.,Αποθ.,Guar.,Kayd.,Salv.,Salva,Збер.
prgbuttxt6,Define...,ていぎ...,Setzen...,Definieer...,Ορισμ...,Definir...,Tanımla…,Definir...,Imposta…,Змінити…
prgbuttxt7,Taskbar...,タスクバー...,Taskbar,Taakbalk...,Γραμ. εργασ...,Barra de tareas,Görev Çubuğu...,Barra de tarefas...,Taskbar…,Пан. завд.
dsptabtxt1,Deskt.,デスク,Desk.,Bureaublad,Γραφ.,Escrit.,Masaüstü,Área,Deskt.,Роб.стіл
dsptabtxt2,Saver,セーバー,Bildschon.,Saver,Φύλακας,Salvap.,Koruyucu,Proteção,Saver,Заставка
dsptabtxt3,Colours,カラー,Farben,Kleuren,Χρώματα,Colores,Renk,Cores,Colori,Кольори
dsptabtxt4,Modi,モード,Modus,Modi,Λειτ.,Modo,Mod,Modos,Risol,Режим
dspobjtxtb,Background,バックグラウンド,Hintergrund,Achtergrond,Φόντο,Fondo,Arkaplan,Fundo,Sfondo,Тло
dspobjtxtd,Browse...,せんたく...,Wählen...,Bladeren...,Αναζήτ...,Explorar...,Gözat…,Buscar…,Sfoglia…,Огляд…
dspobjtxtf,Setup,セット,Setup,Instel.,Ρύθμιση,Opcion.,Kurul.,Config.,Imposta,Налашт.
dspobjtxtg,Screensaver,スクリーンセーバー,Bildschirmschoner,Screensaver,Φύλακας οθ.,Salvapantallas,Ekran Koruyucu,Protetor de tela,Screensaver,Заставка
dspobjtxth,Wait,ウェイト,Zeit,Na,Αναμονή,Esp.,Bekle,Agu.,Avvio,Інтерв.
dspobjtxti,min,分,min,min,λεπ,min,dak,min,min,хв.
dspobjtxtj,Test,テスト,Test,Test,Δοκιμή,Probar,Test,Teste,Test,Тест
dspobjtxt2,Elements,エレメント,Elemente,Elementen,Στοιχεία,Elementos,Öğeler,Elementos,Elementi,Елементи
dspobjtxtk,Definition,ていぎ,Definition,Definitie,Ορισμός,Definición,Tanım,Definição,Definizione,Колір
dspobjtxt3,Palette,パレット,Palette,Palet,Παλέτα,Paleta,Palet,Paleta,Palette,Палітра
dspobjtxt7,Roll,ロール,Roll.,Rol,Κύλιση,Roll,Roll,Roll,Roll,Пврт
dspobjtxt8,Flip,フリップ,Wcs.,Flip,Αναστρ.,Flip,Flip,Flip,Flip,Дзрк
dspobjtxt9,Bright,ブライト,Hell.,Licht,Φωτειν.,Clr.,Aydın.,Cl.,Chiaro,Світл.
dspobjtxta,Dark,ダーク,Dunk.,Donk.,Σκοτειν.,Osc.,Kara.,Esc.,Scuro,Темн.
dspobjtxt1,Screenmodi,スクリーンモード,Auflösung,Schermmodi,Λειτ. οθόνης,Modo de pantalla,Ekran modu,Modos de tela,Risoluzioni,Режим екрану
dspobjtxm8,Low,ロー,Niedr.,Laag,Χαμ.,Bajo,Düşük,Baixo,Bassa,Низький
dspobjtxm9,High,ハイ,Höher,Hoog,Υψηλ.,Alto,Yüksek,Alto,Alta,Високий
dspobjtxtrx,Frame 1,フレーム1,Rahmen 1,Frame 1,Πλαισ. 1,Frame 1,Çerçeve 1,Frame 1,Frame 1,Рамка 1
dspobjtxtrx1,Frame 2,フレーム2,Rahmen 2,Frame 2,Πλαισ. 2,Frame 2,Çerçeve 2,Frame 2,Frame 2,Рамка 2
dspobjtxtrx2,Backgr.,バック,Hintergr.,Achtergr.,Φόντο,Fondo,Arkaplan,Fundo,Sfondo,Тло
dspobjtxtrx3,Text,テキスト,Text,Tekst,Κείμενο,Texto,Metin,Texto,Testo,Текст
dspobjtxtry,Colour 1,カラー1,Farbe 1,Kleur 1,Χρώμα 1,Color 1,Renk 1,Cor 1,Colore 1,Колір 1
dspobjtxtry1,Colour 2,カラー2,Farbe 2,Kleur 2 ,Χρώμα 2,Color 2,Renk 2,Cor 2,Colore 2,Колір 2
dspobjtxtry2,Colour 3,カラー3,Farbe 3,Kleur 3,Χρώμα 3,Color 3,Renk 3,Cor 3,Colore 3,Колір 3
dspobjtxtry3,Colour 4,カラー4,Farbe 4,Kleur 4,Χρώμα 4,Color 4,Renk 4,Cor 4,Colore 4,Колір 4
dspobjtxtrz,Bar,バー,Leiste,Balk,Μπάρα,Barra,Çubuk,Barra,Barra,Бігунок
_dspobjtxtr1,-,-,-,-,-,-,-,-,-,-
_dspobjtxtr2,-,-,-,-,-,-,-,-,-,-
_dspobjtxtr3,-,-,-,-,-,-,-,-,-,-
_dspobjtxtr4,-,-,-,-,-,-,-,-,-,-
dspobjtxtr5,Invert,はんてん,Invers,Omkeren,Αντιστροφή,Invertir,Tersine çevir,Inverter,Inverti,Активне
dspobjtxtr6,Preview,プレビュー,Vorschau,Voorbeeld,Προεπ.,Previa ,Önizleme,Visualizar,Anteprima,Перегляд
dspobjtxts1,Title,タイトル,Titel,Titel,Τίτλος,Título,Başlık,Título,Titolo,Заголовок
dspobjtxts2,Status,ステータス,Status,Status,Κατάστ.,Estado,Durum,Status,Stato,Рядок стану
dspobjtxts3,Slider,スライダー,Balken,Schuif,Δείκτης,Deslizador,Kaydırıcı,Controle,Slider,Повзунок
dspobjtxts4,Menu (1),メニュー（１）,Menu (1),Menu (1),Μενού (1),Menú (1),Menü (1),Menu (1),Menu (1),Меню (1)
dspobjtxts5,Menu (2),メニュー（２）,Menu (2),Menu (2),Μενού (2),Menú (2),Menü (2),Menu (2),Menu (2),Меню (2)
