labels,ENG,DEU,NLD,JPN,SPA,TUR,POR,ITA,UKR
tskobjtxt1,Totals,Insgesamt,Totalen,トータル,Totales,Toplamlar,Totais,Totali,Підсумки
tskobjtxt2,Memory (KB),Speicher (KB),Geheugen (KB),メモリ(KB),Memoria (KB),Bellek (KB),Memória (KB),Memoria (KB),Пам'ять (кБ)
tskobjtxt3,Applications,Anwendungen,Applicaties,アプリケーション,Aplicaciones,Uygulamalar,Aplicativos,Applicazioni,Застосунків
tskobjtxt4,Processes,Prozesse,Processen,プロセス,Procesos,İşlemler,Processos,Processi,Процесів
tskobjtxt5,Timers,Timer,Timers,タイマー,Contadores,Timers,Timers,Timer,Таймерів
tskobjtxt6,Total,Insgesamt,Totaal,ごうけい,Total,Toplam,Total,Totali,Усього
tskobjtxt7,Used,Belegt,Gebruikt,しようちゅう,Usado,Kullanılan,Usado,Usata,Зайнята
tskobjtxt8,Available,Verfügbar,Beschikbaar,あきようりょう,Disponible,Boşta,Disponível,Disponibile,Доступна
tskobjtxt10,CPU,CPU,CPU,CPU,CPU,CPU,CPU,CPU,ЦП
tskobjtxt11,Memory,Speicher,Geheugen,メモリ,Memoria,Bellek,Memória,Memoria,Пам'ять
prgprzrow1,Name,Name,Naam,なまえ,Nombre,Ad,Nome,Nome,Ім'я
prgprzrow2,ID,ID,ID,ID,ID,ID,ID,ID,ІП
prgprzrow3,Pri.,Pri.,Pri.,Pri.,Pri.,Önc,Pri.,Pri.,Прі.
prgprzrow4,Status,Status,Status,Status,Est.,Durum,Status,Status,Стан
tskapprow3,Prc.,Prz.,Prc.,Prc.,Proc.,İşl.,Prc.,Prc.,Пр.
tskapprow4,Mem.,Spei.,Mem.,Mem.,Mem.,Bel.,Mem.,Mem.,Пам'ять
prgprzsta0,Timer,Timer,Timer,Timer,Cont.,Timer,Timer,Timer,Timer
prgprzsta1,Sleep,Stopp,Slaap,Sleep,Paus.,Uyku,Susp.,Pausa,Sleep
prgprzsta2,Idle,Leerl,Inact.,Idle,Inact.,Boşta,Ocioso,Idle,Idle
prgprzsta3,Work,Arbeit,Werk,Work,Ejec. ,Görev,Ativo,Attivo,Work
App_PrcIDam4,Application,Anwendung,Applicatie,アプリケーション,Aplicación,Uygulama,Aplicativo,Applicazione,Застосунки
prgprzbut1,Refresh,Aktual.,Update,こうしん,Act.,Tazele,Atualiz.,Ricarica,Онов.
prgprzbut2,Sleep,Stopp,Slaap,スリープ,Pausar,Uyut,Suspen.,Pausa,Сон
prgprzbut3,Kill,Beenden,Beëindig,キル,Term.,Öldür,Enc.,Termina,Заверш.
tskappbut2,Switch,Wechs.,Wisselen,きりかえ,Cambiar,Switch,Alternar,Scambia,Перемк.
tskappbut3,End App.,Beenden,Afsluit.,END,Term.,Sona,Enc.,Fine,Заверш.
