labels,ENG,DEU,NLD,JPN,SPA,TUR,POR,ITA,UKR
prgtxterrc,Error while loading file!,Fehler beim Laden!,Fout bij laden van bestand!,ファイル よみこみ エラー！,¡Error al cargar archivo!,Dosya yüklenirken hata!,Erro ao carregar arquivo!,Errore di lettura del file!,Помилка завантаження файлу!
prgtxterrd,Error while saving file!,Fehler beim Speichern!,Fout bij opslaan van bestand!,ファイル ほぞん エラー！,¡Error al guardar archivo!,Dosya kaydedilirken hata!,Erro ao salvar arquivo!,Errore di salvataggio del file!,Помилка збереження файлу!
prgtxterrh,Error while loading font!,Fehler beim Schrift-Laden!,Fout bij laden van het lettertype!,フォントよみこみエラー！,¡Error al cargar fuente!,Font yüklenirken hata!,Erro ao carregar fonte!,Errore di lettura del font!,Помилка завантаження шрифту!
prgtxterre,Device full. Only a part of,Datenträger voll. Nur ein Teil,Apparaat vol.Slechts een deel van,デバイス が いっぱい です。,Dispositivo lleno. Solo parte del,Aygıt dolu. Belgenin yalnızca,Dispositivo cheio. Apenas parte,Dispositivo pieno. Solo un  parte del,Диск заповнений. Збережено
prgtxterrf,the document has been saved.,konnte gespeichert werden.,document opgeslagen.,ドキュメント の いちぶ だけ が ほぞん されました。,documento ha sido guardado.,bir kısmı kaydedildi.,do documento foi salvo.,documento è stata salvata.,лише частину документа.
prgtxterrg,Printer Daemon not found.,Kein Printer Daemon.,Printer Daemon niet gevonden.,プリンター デーモン が みつかりません。,Sin Printer Daemon.,Yazıcı Servisi bulunamadı.,Servidor de impressão não encontrado.,Daemon di stampa non trovato.,Службу принтера не знайдено.
prgtxtsav1,Save changes?,Änderungen speichern?,Wijzigingen opslaan?,こうしんを ほぞんしますか？,Guardar cambios?,Değişiklikleri kaydet?,Salvar alterações?,Salvare le modifiche?,Зберегти зміни?
fnttxtdef,Default,Standard,Standaard,デフォルト,Por defecto,Varsayılan,Padrão,Default,Звичайний
fnttxtext,[Loaded],[Geladen],[Geladen],[よみこみ],[Cargado],[Yüklendi],[Carregado],[Caricato],[Зовн.]
txtcfgfnt,Font,Schriftart,Lettertype,フォント,Fuente,Font ,Fonte,Font,Шрифт
txtcfgopt,Options,Optionen,Opties,オプション,Opciones,Seçenekler,Opções,Opzioni,Параметри
cfgwintit,Settings,Einstellungen,Instellingen,せってい,Opciones,Ayarlar,Configurações,Impostazioni,Налаштування
cfgwintxt0,Font type,Schriftart,Lettertype,フォント タイプ,Tipo de fuente,Font tipi,Tipo de fonte,Tipo font,Шрифт
cfgwintxt1,Font colour,Farben,Letterkleur,フォント カラー,Color de fuente,Font rengi,Cor da fonte,Colore font,Кольори
cfgwintxt2,Word wrap,Umbruch,Woordafbreking,Word wrap,Ajuste de línea,Kelime kaydırma,Quebra de linha,Allinea testo,Перенос по словах
cfgwintxt3,Word wrap at window border,Umbruch am Fensterende,Woordafbreking bij vensterrand,ウィンドウ はし でWord wrap,Al marco de la ventana,Pencere kenarında kelime kaydırma,na borda da janela,Giustifica,на межі вікна
cfgwintxt4,Word wrap at,Umbruch bei,Woordafbreking bij,Word wrapする,Ajuste a,Kelime kaydırma,depois de,Allinea a,на відстані
cfgwintxt5,px,px,px,px,px,px,px,px,пікс.
cfgwintxt6,No word wrap,Kein Umbruch,Geen woordafbreking,ワードラップ なし,Sin ajuste de línea,Kelime kaydırma yok,Sem quebra de linha,Nessuna distribuzione testo,без переносу
cfgwintxt7,Tabstop width,Tabstop Breite,Tabstopbreedte,タブはば,Tabulación,Sekme durağı genişliği,Tabulação,Tabulazione,Ширина табуляції
cfgwintxt8,chars,Zeichen,tekens,もじ,caracteres,karakter,caracteres,Caratt.,символів
cfgwintxt9,Pen,Schrift,Pen,ペン,Color,Kalem,Caneta,Colore,Перо
cfgwintxta,Paper,Hinterg.,Papier,かみ,Fondo,Kağıt,Papel,Sfondo,Папір
cfgwintxtb,Preview,Vorschau,Voorbeeld,プレビュー,Previa ,Önizleme,Prévia ,Anteprima,Перегляд
cfgwintxt10,Load from,Schriftart,Lettertype,よみこむ,Cargar,Şuradan yükle:,Carregar,Carica da,Додати
cfgwintxt11,Fontfile,laden,laden,フォントファイル,Archivo,Font dosyası,fonte,File carattere,шрифт
cfgwintxt12,Miscellaneous,Allgemein,Diversen,そのた,Varios,Çeşitli,Diversos,Varie,Різне
fndwintit,Find,Suchen,Zoeken,けんさく,Buscar,Bul,Localizar,Trova,Знайти
repwintit,Replace,Ersetzen,Vervangen,ちかん,Reemplazar,Değiştir,Substituir,Sostituisci,Замінити
gotwintit,Go to,Gehe zu,Ga naar,ジャンプ,Ir a,Git,Ir para,Vai a,Перейти 
fndwintxt1,Find what,Suchtext,Zoekterm,けんさく,Buscar,Arama metni,Localizar,Trova,Знайти:
fndwintxt2,Replace with,Ersetze mit,Vervangen door,ちかん,Reemplazar,Şununla değiştir,Substituir por,Sostituisci,Замінити на:
fndwintxt3,Match case,Groß/Klein,Hoofdlettergevoelig,おおもじこもじのくべつ,Coincidir Mayús/minúsc.,Büyük küçük harfe uy,Diferenciar maiúsculas,Confronta maiusc/minusc,Враховувати регістр
fndwintxt4,Whole word only,Nur ganze Wörter,Alleen hele woorden,かんぜんいっち,Solo palabra completa,Sadece tüm kelime,Palavra inteira,Solo parola intera,Лише цілі слова
fndwintxt5,Entire document,Alle ab Anfang,Gehele document,ぶんしょうぜんたい,Todo el documento,Tüm belge,Documento inteiro,In tutto il documento,Весь документ
fndwintxt6,Line,Zeile,Regel,ぎょう,Línea,Satır,Linha,Linea,Рядок
fndwintxt7,Column,Spalte,Kolom,けた,Columna,Sütun,Coluna,Colonna,Стовпець
fndmsgtxt1,Text not found!,Text nicht gefunden!,Tekst niet gevonden!,テキスト が みつかりません！,¡Texto no encontrado!,Metin bulunamadı!,Texto não encontrado!,Testo non trovato!,Текст не знайдено!
fndmsgtxt3a,Textbuffer full. Couldn't,Speicher voll. Nicht alles,Tekstbuffer vol. Kon niet,テキストバッファー が いっぱい,Búfer de texto lleno. No se,Metin arabelleği dolu. Bir veya,Buffer de texto cheio. Não foi,Buffer pieno. Non posso sostituire,Текстовий буфер переповнений. Не вдалося
fndmsgtxt3b,replace one or more entries.,konnte ersetzt werden.,één of meer items vervangen.,で、いくつか の エントリー を リプレイス できません。,reemplazaron una o más entradas.,daha fazla girdi değiştirilemedi.,possível substituir uma ou mais entradas.,una o più voci.,виконати заміну деяких елементів.
fndmsgtxt4,Invalid number,Ungültige Nummer,Ongeldig getal,むこうな ナンバー,Número no válido,Geçersiz sayı,Número inválido,Numero non valido,Недійсний номер
_fndmsgtxt2a,Replaced ,,,ちかん,Reemplazado ,Değiştirildi ,Substituído ,Sostituito,Зроблено 
fndmsgtxt2b,????? times.,????? mal ersetzt.,????? keer vervangen.,????? かい,????? veces.,????? defa.,????? vezes.,????? volte,????? замін.
fndmsgtxt2c, times., mal ersetzt., keer vervangen., かい, veces., defa., vezes.,volte., замін.
prgwinmentx1,File,Datei,Bestand,ファイル,Archivo,Dosya,Arquivo,File,Файл
prgwinmen1tx1, New, Neu, Nieuwe, しんき, Nuevo, Yeni, Novo, Nuovo, Створити
prgwinmen1tx2, Open..., Öffnen..., Openen..., ひらく, Abrir..., Aç…, Abrir..., Apri…, Відкрити…
prgwinmen1tx3, Save, Speichern, Opslaan, ほぞん, Guardar, Kaydet, Salvar, Salva, Зберегти
prgwinmen1tx4, Save As..., Speichern unter..., Opslaan als..., なまえをつけてほぞん, Guardar como..., Farklı Kaydet…, Salvar como..., Salva come…, Зберегти як…
prgwinmen1tx5, Print..., Drucken..., Afdrukken..., いんさつ, Imprimir..., Yazdır…, Imprimir..., Stampa…, Друк…
prgwinmen1tx6, Exit, Beenden, Afsluiten, しゅうりょう, Salir, Çıkış, Sair, Esci, Вихід
prgwinmentx2,Edit,Bearbeiten,Bewerken,へんしゅう,Edición,Düzenle,Editar,Modifica,Редагування
prgwinmen2tx1, Cut, Ausschneiden, Knippen, きりとり, Cortar, Kes, Recortar, Taglia, Вирізати
prgwinmen2tx2, Copy, Kopieren, Kopiëren, コピー, Copiar, Kopyala, Copiar, Copia, Копіювати
prgwinmen2tx3, Paste, Einfügen, Plakken, はりつけ, Pegar, Yapıştır, Colar, Incolla, Вставити
prgwinmen2tx4, Delete, Löschen, Verwijderen, さくじょ, Borrar, Sil, Excluir, Elimina, Видалити
prgwinmen2tx5, Find..., Suchen..., Zoeken..., けんさく, Buscar..., Bul…, Localizar..., Trova…, Знайти…
prgwinmen2tx6, Find Again, Weitersuchen, Opnieuw zoeken, さいけんさく, Buscar de nuevo, Tekrar Bul, Localizar novamente, Trova ancora, Знайти далі
prgwinmen2tx7, Replace..., Ersetzen..., Vervangen..., ちかん, Reemplazar…, Değiştir…, Substituir..., Sostituisci…, Замінити…
prgwinmen2tx8, Go To..., Gehe zu..., Ga naar..., ジャンプ, Ir a..., Git…, Ir para..., Vai a, Перейти…
prgwinmen2tx9, Select All, Alles markieren, Alles selecteren, すべて, Seleccionar todo, Tümünü Seç, Selecionar tudo, Seleziona tutto, Виділити все
prgwinmen2txa, Time/Date, Zeit/Datum, Tijd/datum, 日時, Fecha/Hora, Saat/Tarih, Hora/Data, Ora/Data, Час/дата
prgwinmentx3,Format,Format,Opmaak, フォーマット,Formato,Biçim,Formatar,Formato,Формат
prgwinmen3tx1, Auto word wrap, Automatischer Umbruch, Automatische woordafbreking, オート Word wrap, Ajuste de línea automático, Otomatik kelime kaydırma, Quebra automática, Allineamento automatico, Перенос по словах
prgwinmen3tx2, Settings..., Einstellungen..., Instellingen..., せってい, Opciones..., Ayarlar…, Configurações..., Impostazioni…, Налаштування…
prgwinmentx4,View,Ansicht,Beeld,ひょうじ,Ver,Görünüm,Exibir,Visualizza,Вигляд
prgwinmen4tx1, Tool bar, Statusleiste, Statusbalk, ステータス バー, Barra de estado, Araç çubuğu, Barra de ferramentas, Barra degli strumenti, Панель інструментів
prgwinmen4tx2, Status bar, Statusleiste, Statusbalk, ステータス バー, Barra de estado, Durum çubuğu, Barra de status, Barra di stato, Рядок стану
prgwinmen4tx3, Line numbers, Zeilennummern, Regelnummers, ぎょう,  Números de línea, Satır numaraları, Números de linha, Numeri di linea, Номери рядків
prgwinmentx5,?,?,?,?,?,?,?,?,?
prgwinmen5tx1, Index, Hilfethemen, Index, インデックス, Índice, İndeks, Índice, Indice, Перегляд довідки
prgwinmen5tx2, About Wordpad..., Über Wordpad..., Over Wordpad..., ワードパッド に ついて..., Acerca de Wordpad..., Wordpad hakkında…, Sobre o Wordpad..., Info su Wordpad, Про програму…
