labels,ENG,UKR,DEU,NLD,SPA,TUR,POR,ITA
attribtxt2,Change date/time:,Змінити дату/час:,Datum/Zeit ändern:,Datum/tijd wijzigen:,Cambiar fecha/hora,Tarih/saat değiştir:,Alterar data/hora:,Modifica data/ora:
attribtxt3,set,вст.,an,set,Sí ,ayarla,sim,set
attribtxt4,reset,скин.,aus,reset,No,sıfırla,não,reset
attribtxt5,unchng.,без змін,lassen,ongew.,Igual,izin ver,deixar,uguale
attribtxt6,Date:,Дата:,Datum:,Datum:,Fecha:,Tarih:,Data:,Data:
attribtxt7,Time:,Час:,Zeit:,Tijd:,Hora:,Saat:,Hora:,Ora:
attribtxt8,Current,Поточний,Aktuell,Huidig,Actual,Mevcut,Atual,Attuale
configtit,Configuration,Налаштування,Einstellungen,Configuratie,Configuración,Yapılandırma,Configuração,Configurazione
configtxt0,Memory usage,Використання пам'яті,Speichernutzung,Geheugengebruik,Uso de memoria,Bellek kullanımı,Uso de memória,Memoria utilizzata
configtxt1,Max. list entries,Довжина списку:,Listeneinträge,Max. lijstitems,Máx. Entradas,Liste girişleri,Máx. entradas,Max n° voci
configtxt2,List buffer size,Буфер списку:,Listenbuffer,Lijstbuffer,Búfer de lista,Liste boyutu,Buffer da lista,Buffer di lista
configtxt3,Copy buffer size,Буфер копіюв-ня:,Kopierbuffer,Kopieerbuffer,Búfer de copia,Kopya boyutu,Buffer de cópia,Buffer di copia
configtxt4,bytes,байт,bytes,bytes,bytes,bayt,bytes,bytes
configtxt5,Miscellaneous,Інше,Sonstiges,Diversen,Varios,Çeşitli,Diversos,Varie
configtxt6,files,файлів,Dateien,bestanden,Archivos,dosya,arquivos,file
configtxt7,Show hidden/system files,Показувати приховані/сист. файли,zeige System/versteckte Dateien,Verborgen/systeembestanden tonen,Mostrar archivos ocultos/sistema,Gizli/sistem dosyalarını göster,Mostrar arquivos ocultos/sistema,Mostra file nascosti/di sistema
configtxt8,Ask before overwriting files,Запитувати перед перезаписом,vor Überschreibung fragen,Vragen voor overschrijven,Preguntar antes de sobrescribir,Dosya üzerine yazmayı onaylayın,Perguntar antes de sobrescrever,Chiedi prima di sovrascrivere
copmovtxt1a,Copy:,Копіювання:,Kopieren:,Kopiëren:,Copiar:,Kopyala:,Copiar:,Copia:
_copmovtxt1b,Move:,Переміщення:,Bewegen:,Verplaatsen:,Mover:,Taşı:,Mover:,Sposta:
_copmovtxt0,,,,,,,,
copmovtxt2,From:,З:,Von:,Van:,De:,Kimden:,De:,Da:
copmovtxt3,To:,В:,Nach:,Naar:,A:,Kime:,Para:,A:
ovtwrttxt0,...already exist. What to do?,…вже існує.,...existiert bereits. ,...bestaat al. Wat doen?,… ya existe. ¿Qué hacemos?,...zaten mevcut. Ne yapmak istersiniz?,...já existe. O que fazer?,…il file eiste già. Cosa fare?
ovtwrttxt1,Overwrite,Замінити,Ersetzen,Overschrijven,Sobrescribir,Üzerine yaz,Sobrescrever,Sovrascrivi
ovtwrttxt2,Overwrite all,Замінити усі,Alle ersetzen,Alles overschr.,Sobrescribir todo,Tümünü üzerine yaz,Sobrescrever tudo,Sovrascrivi tutti
ovtwrttxt3,Skip,Пропустити,Überspringen,Overslaan,Saltar,Atla,Pular,Salta
ovtwrttxt4,Skip all,Проп. усі,Alle überspr.,Alles overslaan,Saltar todo,Tümünü atla,Pular tudo,Salta tutti
drvprptit,Drive information,Інформація про диск,Laufwerk Information,Schijfinfo,Información de unidad,Sürücü bilgileri,Informações da unidade,Info sul drive
_drvprptxt0,Drive ,Диск ,Laufwerk ,Schijf ,Unidad ,Sürücü,Unidade ,Drive
drvprptxt0a,#,#,#,#,#,#,#,#
drvprptxt1,Type,Тип:,Typ,Type,Tipo,Tip,Tipo,Tipo
drvprptxt20,[unknown],[невідомо],[unbekannt],[onbekend],[desconocido],[bilinmiyor],[desconhecido],[sconosciuto]
drvprptxt2a,Floppy Single Side,Гнучкий (1-сторонній),Diskette SS,Floppy SS,Disq.una cara,Tek Taraflı Floppy,Disquete Face Simples,Floppy SS
drvprptxt2b,Floppy Double Side,Гнучкий (2-сторонній),Diskette DS,Floppy DS,Disq.dos caras,Çift Taraflı Floppy,Disquete Face Dupla,Floppy DS
drvprptxt2c,IDE device,IDE-пристрій,IDE Gerät,IDE-apparaat,IDE,IDE aygıt,Dispositivo IDE,Disco IDE
drvprptxt2d,SD/MMC card,SD/MMC-карта,SD/MMC Karte,SD/MMC-kaart,SD/MMC,SD/MMC kart,Cartão SD/MMC,Scheda SD/MMC
drvprptxt2e,USB device,USB-пристрій,USB Gerät,USB-apparaat,USB,USB aygıt,Dispositivo USB,Dispositivo USB
drvprptxt3,File system,Файлова система:,Dateisystem,Bestandssysteem,Sistema,Dosya sistemi,Sistema,File system
drvprptxt5,Used,Використано:,Belegt,Gebruikt,Usado,Kullanılan,Usado,Usato
drvprptxt60,[examining...],[підрахунок…],[untersuchen...],[onderzoeken...],[examinando...],[inceleniyor...],[examinando...],[esamino…]
drvprptxt61,[Error],[Помилка],[Fehler],[Fout],[Error],[Hata],[Erro],[Errore]
drvprptxt62, KBytes, кбайт, KBytes, Kbytes, Kbytes, KBayt, KBytes, KBytes
drvprptxt7,Free,Вільно:,Frei,Vrij,Libre,Boş,Livre,Liberi
drvprptxt9,Capacity,Місткість:,Gesamt,Capaciteit,Capacidad,Kapasite,Capacidade,Capacità
drvprptxtb0,(not removable),(не змінний),(nicht wechselbar),(niet verwijderbaar),(no extraíble),(çıkarılamaz),(não removível),(non rimovibile)
drvprptxtb1,(removable),(змінний),(Wechselmedium),(verwijderbaar),(extraíble),(çıkarılabilir),(removível),(rimovibile)
filtyptxt,"Enter file type (e.g. *.exe, *.txt)","Маска файлу (напр.: *.exe, *.txt):","Dateityp (z.B. *.exe, *.txt)","Bestandstype (bv. *.exe, *.txt)","Introducir tipo (p.e. *.exe, *.txt)","Dosya türünü girin (ör. *.exe, *.txt)","Tipo de arquivo (ex: *.exe, *.txt)","Indica tipo file (es: *.exe, *.txt)"
cmdcoptxt,Copy @@@@ file(s) to,Копіювати елементи (@@@@ шт.) в:,Kopiere @@@@ Datei(en) nach,Kopiëren @@@@ bestand(en) naar,Copiar @@@@ archivo(s) a,Kopyala @@@@ dosya(lar) şuraya,Copiar @@@@ arquivo(s) para,Copia @@@@ file(s) da
cmdcoptxt1, file(s) to, шт.) в:, Datei(en) nach, bestand(en) naar, archivo(s) a, dosya(lar) şuraya, arquivo(s) para, file(s) da
cmdmovtxt,Move @@@@ file(s) to,Перемістити елементи (@@@@ шт.) в:,Bewege @@@@ Datei(en) nach,Verplaatsen @@@@ bestand(en) naar,Mover @@@@ archivo(s) a,Taşı @@@@ dosya(lar) şuraya,Mover @@@@ arquivo(s) para,Sposta @@@@ file(s) da
cmdrentxt,Rename file/directory to,Перейменувати файл/папку в:,Umbenennen in,Bestand/map hernoemen naar,Renombrar archivo/directorio a,Dosya/klasörü yeniden adlandır,Renomear arquivo/diretório para,Rinomina file/cartella da
cmdfoltxt,New directory,Створити папку:,Neues Verzeichnis,Nieuwe map,Nuevo directorio,Yeni dizin,Novo diretório,Nuova Cartella
splitttxt1,Split the file to directory:,Розділити файл у папку:,Datei auspalten nach:,Bestand splitsen naar map:,Dividir el archivo al directorio:,Dosyayı dizine ayır:,Dividir arquivo para o diretório:,Dividi file nella cartella:
splitttxt2,KBytes per file:,Кбайт на файл:,KB pro Datei:,KB per bestand:,KB por archivo:,KBayt/dosya:,KB por arquivo:,KBytes per file:
combintxt,Combine selection to file:,Об'єднати вибране у файл:,Zusammenfügen in Datei:,Selectie samenvoegen tot bestand:,Combinar selección a archivo:,Seçimi dosyaya birleştir:,Combinar seleção em arquivo:,Combina i selezionati nel file:
_confrmtxt1a,Do you really want to delete the @@@@,Видалити вибрані елементи,Sollen wirklich die @@@@ Dateien/,Wilt u echt verwijderen @@@@,¿Seguro que quieres borrar los @@@@,Seçili dosya(lar)/kalasör(ler) @@@@,Voce realmente quer apagá-los @@@@,Vuoi davvero eliminare @@@@
confrmtxt1b,,, Dateien/,,,,,
confrmtxt2a,selected file(s)/directorie(s)?,(@@@@ шт.)?,Verzeichnisse gelöscht werden?,geselecteerde bestand(en)/map(pen)?,archivo/directorios seleccionados?,gerçekten silmek istiyor musunuz?,arquivo(s)/diretório(s) selecionado(s)?,file/cartelle selezionati
confrmtxt2b,, шт.)?,,,,,,
lsttab3a,Name,Ім'я,Name,Naam,Nombre,Ad,Nome,Nome
lsttab3b,Size,Розмір,Größe,Grootte,Tamaño,Boyut,Tamanho,Dim.
lsttab3c,Date,Дата,Datum,Datum,Fecha,Tarih,Data,Data
_lsttab3d,-,-,-,-,-,-,-,-
