labels,ENG,DEU,NLD,JPN,SPA,TUR,POR,ITA,UKR
cfgtxttxd,for the appropriate IP settings.,beim Netzwerk-Administrator erfragt werden.,om de juiste IP-instellingen.,かくにんしてください,necesarias al administrador.,yöneticinize danışmanız gerekir.,administrador as configurações de IP corretas.,tuo amministratore di rete.,в адміністратора вашої мережі.
cfgtxttxf,IP address,IP Adresse,IP-adres,IPアドレス,Dirección IP,IP adresi,Endereço IP,Indirizzo IP,IP-адреса:
cfgtxttxg,Subnet mask,Subnetz Maske,Subnet,サブネットマスク,Subred,Alt ağ maskesi,Sub-rede,Subnet,Маска підмережі:
cfgtxttxh,Default gateway,Gateway,Gateway,デフォルトゲートウェイ,Gateway,Ağ geçidi,Gateway padrão,Gateway,Основний шлюз:
cfgtxttxi,Hostname,Hostname,Hostnaam,ホストめい,Host,Ana bilgisayar adı,Nome do host,Nome Host,Ім'я комп'ютера:
cfgtxttxj,Primary DNS,Primärer DNS,Primaire DNS,プライマリDNS,DNS Primaria,Birincil DNS,DNS primário,DNS primario,Основний DNS:
cfgtxttxk,Secondary DNS,Sekundär. DNS,Secundaire DNS,セカンダリDNS,DNS Sec.,İkincil DNS,DNS secundário,DNS secondario,Резервний DNS:
cfgtxtrda,Obtain an IP address automatically,IP Adresse automatisch zuweisen,IP-adres automatisch verkrijgen,IPアドレスをじどうでしゅとく,IP automática ,IP adresini otomatik olarak al,Obter endereço IP automaticamente,Ottieni automaticamente l'indirizzo IP,Отримувати IP-адресу автоматично
cfgtxtrdb,Use the following IP address ,IP Adresse manuell zuweisen,Gebruik het volgende IP-adres,つぎのIPアドレスをつかう,Usar la siguiente dirección IP,Aşağıdaki IP adresini kullan,Usar o seguinte endereço IP ,Usa il seguente indirizzo IP,Використовувати таку IP-адресу
cfgtxtrdc,Obtain DNS server addresses automatically,DNS Server automatisch setzen,DNS-adressen automatisch verkrijgen,DNSアドレスをじどうでしゅとく,DNS automático ,DNS sunucu adreslerini otomatik olarak al,Obter endereços DNS automaticamente,Ottieni automaticamente l'indirizzo DNS,Отримувати DNS автоматично
cfgtxtrdd,Use the following DNS server addresses ,DNS Server manuell setzen,Gebruik de volgende DNS-adressen,つぎのDNSアドレスをつかう,Usar la siguiente dirección de servidor DNS,Aşağıdaki DNS sunucu adreslerini kullan,Usar os seguintes endereços DNS ,Usa il seguente indirizzo DNS,Використовувати такі адреси DNS
cfgerrtxt0,Wrong IP format,Falsches IP Format,Ongeldig IP-formaat,IPアドレスをまちがえています,Formato de IP incorrecto,Yanlış IP formatı,Formato de IP inválido,Formato IP errato,Невірний формат IP.
cfgerrtxt1,Please enter a correct,Bitte eine Zahl zwischen,Voer een geldig,０から255のあいだの,"Por favor, introduzca un número",Lütfen 0 ile 255 arasında,"Por favor, insira um número",Inserisci un valore,Введіть число від 0 до 255.
cfgerrtxt2,number between 0 and 255.,0 und 255 eingeben.,getal in tussen 0 en 255.,ただしいすうじをいれてください,correcto entre 0 y 255.,bir sayı girin.,correto entre 0 e 255.,compreso fra 0 e 255,
